Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
BMW,i3 0.6 I3 94AH RANGE EXTENDER 5d 168 BHP,2018,Hatchback,5,4,Black,0.6,"3199,84","41,088",Hybrid,0.6,Automatic,168,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE 5d 148 BHP,2017,Hatchback,5,5,Black,2.0,"3599,84","37,8",n/a,65.7,Manual,148,1,16-11-2021
MINI,Mini 1.5 COOPER D 5d 114 BHP,2017,Hatchback,5,5,Grey,1.5,"1599,84","47,388",n/a,78.5,Manual,114,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE TECH 5d 148 BHP,2017,Hatchback,5,5,White,2.0,"3839,84","37,14",n/a,65.7,Manual,148,1,16-11-2021
Nissan,Qashqai 1.5 DCI TEKNA 5d 108 BHP,2018,Hatchback,5,5,Grey,1.5,"2559,84","67,844",n/a,74.3,Manual,108,1,16-11-2021
Volkswagen,Passat 1.6 SE BUSINESS TDI BLUEMOTION TECHNOLOGY 4d 119 BHP,2017,Saloon,4,5,Grey,1.6,"2159,84","36,963",n/a,70.6,Manual,118,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE 5d 148 BHP,2017,Hatchback,5,5,White,2.0,"3919,84","17,867",n/a,65.7,Manual,148,1,16-11-2021
BMW,X1 2.0 SDRIVE18D SE 5d 148 BHP,2017,Estate,5,5,Blue,2.0,"2607,84","54,863",n/a,68.9,Manual,148,1,16-11-2021
Vauxhall,Grandland X 1.6 SPORT NAV S/S 5d 119 BHP,2018,Hatchback,5,5,White,1.6,"2687,84","29,947",n/a,70.6,Manual,118,1,16-11-2021
BMW,3 Series 2.0 318D SE TOURING 5d 148 BHP,2017,Estate,5,5,Silver,2.0,"2239,84","77,849",n/a,62.8,Manual,148,1,16-11-2021
Audi,Q3 2.0 TDI S LINE EDITION 5d 148 BHP,2017,Estate,5,5,White,2.0,"3087,84","40,587",n/a,61.4,Manual,148,1,16-11-2021
